old_CID,STITCH_CID,CID,pub_chem_CID
CID100004536,CID000006230,6230,100004536
CID100004539,CID000004539,4539,100004539
CID100004542,CID000013109,13109,100004542
CID100004543,CID000004543,4543,100004543
CID100004547,CID000065981,65981,100004547
CID100004568,CID006433272,6433272,100004568
CID100004583,CID000004583,4583,100004583
CID100004583,CID000149096,149096,100004583
CID100004585,CID000004585,4585,100004585
CID100004594,CID000004594,4594,100004594
CID100004594,CID009579578,9579578,100004594
CID100004595,CID000004595,4595,100004595
CID100004599,CID003034010,3034010,100004599
CID100004601,CID000004601,4601,100004601
CID100004603,CID000065028,65028,100004603
CID100004607,CID000006196,6196,100004607
CID100004609,CID000004609,4609,100004609
CID100004614,CID000004614,4614,100004614
CID100004616,CID000004616,4616,100004616
CID100004623,CID005353853,5353853,100004623
CID100004631,CID000004631,4631,100004631
CID100004634,CID000004634,4634,100004634
CID100004635,CID005284603,5284603,100004635
CID100004638,CID005281034,5281034,100004638
CID100004639,CID005284604,5284604,100004639
CID100004649,CID000004649,4649,100004649
CID100004666,CID000441276,441276,100004666
CID100004666,CID005352019,5352019,100004666
CID100004673,CID000004673,4673,100004673
CID100004675,CID000027350,27350,100004675
CID100004678,CID000131204,131204,100004678
CID100004679,CID000004679,4679,100004679
CID100004680,CID000004680,4680,100004680
CID100004689,CID000165579,165579,100004689
CID100004691,CID000043815,43815,100004691
CID100004695,CID000004695,4695,100004695
CID100004724,CID000037464,37464,100004724
CID100004725,CID000004725,4725,100004725
CID100004727,CID000005852,5852,100004727
CID100004730,CID000006869,6869,100004730
CID100004735,CID000004735,4735,100004735
CID100004736,CID000441277,441277,100004736
CID100004737,CID000004737,4737,100004737
CID100004739,CID000439693,439693,100004739
CID100004740,CID000004740,4740,100004740
CID100004745,CID000047811,47811,100004745
CID100004746,CID000004746,4746,100004746
CID100004747,CID000004747,4747,100004747
CID100004748,CID000004748,4748,100004748
CID100004756,CID000004756,4756,100004756
CID100004763,CID000004763,4763,100004763
CID100004768,CID000004768,4768,100004768
CID100004771,CID000004771,4771,100004771
CID100004775,CID000004775,4775,100004775
CID100004782,CID000006041,6041,100004782
CID100004786,CID000026934,26934,100004786
CID100004810,CID000004810,4810,100004810
CID100004811,CID000005983,5983,100004811
CID100004812,CID005280483,5280483,100004812
CID100004819,CID000005909,5909,100004819
CID100004828,CID000004828,4828,100004828
CID100004829,CID000004829,4829,100004829
CID100004834,CID000043672,43672,100004834
CID100004845,CID000004845,4845,100004845
CID100004865,CID000010607,10607,100004865
CID100004868,CID049800003,49800003,100004868
CID100004870,CID000004870,4870,100004870
CID100004885,CID000119569,119569,100004885
CID100004889,CID000054687,54687,100004889
CID100004891,CID000004891,4891,100004891
CID100004893,CID000004893,4893,100004893
CID100004894,CID000005755,5755,100004894
CID100004895,CID000005834,5834,100004895
CID100004896,CID000004896,4896,100004896
CID100004900,CID000005865,5865,100004900
CID100004906,CID000004906,4906,100004906
CID100004908,CID000004908,4908,100004908
CID100004909,CID000004909,4909,100004909
CID100004911,CID000004911,4911,100004911
CID100004913,CID000004913,4913,100004913
CID100004914,CID000004914,4914,100004914
CID100004915,CID000004915,4915,100004915
CID100004917,CID000004917,4917,100004917
CID100004920,CID000005994,5994,100004920
CID100004923,CID006178111,6178111,100004923
CID100004927,CID000004927,4927,100004927
CID100004932,CID000004932,4932,100004932
CID100004934,CID000004934,4934,100004934
CID100004935,CID000004935,4935,100004935
CID100004943,CID000004943,4943,100004943
CID100004946,CID000004946,4946,100004946
CID100004976,CID000004976,4976,100004976
CID100004989,CID000708857,708857,100004989
CID100004991,CID000004991,4991,100004991
CID100004992,CID000004992,4992,100004992
CID100004993,CID000004993,4993,100004993
CID100004999,CID000004999,4999,100004999
CID100005002,CID000005002,5002,100005002
CID100005005,CID000054891,54891,100005005
CID100005029,CID000005029,5029,100005029
CID100005032,CID000007028,7028,100005032
CID100005032,CID000009294,9294,100005032
CID100005035,CID000005035,5035,100005035
CID100005038,CID005362129,5362129,100005038
CID100005039,CID003001055,3001055,100005039
CID100005040,CID005284616,5284616,100005040
CID100005051,CID005280954,5280954,100005051
CID100005052,CID000005770,5770,100005052
CID100005064,CID000037542,37542,100005064
